label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
temporalCoverage			dc:temporal		CreativeWork	DateTime, Text, URL		datasetTimeInterval		"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in <a href=""https://en.wikipedia.org/wiki/ISO_8601#Time_intervals"">ISO 8601 time interval format</a>. In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content, e.g. ScholarlyArticle, Book, TVSeries or TVEpisode, may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945"".<br/><br/>

Open-ended date ranges can be written with "".."" in place of the end date. For example, ""2015-11/.."" indicates a range beginning in November 2015 and with no specified final date. This is tentative and might be updated in future when ISO 8601 is officially updated."
termCode	pending:			codeValue	DefinedTerm	Text				"A code that identifies this <a class=""localLink"" href=""/DefinedTerm"">DefinedTerm</a> within a <a class=""localLink"" href=""/DefinedTermSet"">DefinedTermSet</a>"
termDuration	pending:				EducationalOccupationalProgram	Duration				The amount of time in a term as defined by the institution. A term is a length of time where students take one or more classes. Semesters and quarters are common units for term.
termsOfService	pending:				Service	Text, URL				Human-readable terms of service documentation.
termsPerYear	pending:				EducationalOccupationalProgram	Number				The number of times terms of study are offered per year. Semesters and quarters are common units for term. For example, if the student can only take 2 semesters for the program in one year, then termsPerYear should be 2.
text					CreativeWork	Text				The textual content of this CreativeWork.
textValue	pending:				PronounceableText	Text				Text value being annotated.
thumbnail					ImageObject, VideoObject	ImageObject				Thumbnail image for an image or video.
thumbnailUrl					CreativeWork	URL				A thumbnail image relevant to the Thing.
tickerSymbol					Corporation	Text				The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we recommend using the controlled vocabulary of Market Identifier Codes (MIC) specified in ISO 15022.
ticketNumber					Ticket	Text				The unique identifier for the ticket.
ticketToken					Ticket	Text, URL				Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.
ticketedSeat					Ticket	Seat				The seat associated with the ticket.
timeOfDay	pending:				EducationalOccupationalProgram	Text				"The time of day the program normally runs. For example, ""evenings""."
timeRequired					CreativeWork	Duration				Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'PT30M', 'PT1H25M'.
timeToComplete	pending:				EducationalOccupationalProgram	Duration				The expected length of time to complete the program if attending full-time.
tissueSample					PathologyTest	Text				The type of tissue sample required for the test.
title					JobPosting	Text				The title of the job.
titleEIDR	pending:	identifier			Movie, TVEpisode	Text, URL				"An <a href=""https://eidr.org/"">EIDR</a> (Entertainment Identifier Registry) <a class=""localLink"" href=""/identifier"">identifier</a> representing at the most general/abstract level, a work of film or television.<br/><br/>

For example, the motion picture known as ""Ghostbusters"" has a titleEIDR of  ""10.5240/7EC7-228A-510A-053E-CBB8-J"". This title (or work) may have several variants, which EIDR calls ""edits"". See <a class=""localLink"" href=""/editEIDR"">editEIDR</a>.<br/><br/>

Since schema.org types like <a class=""localLink"" href=""/Movie"">Movie</a> and <a class=""localLink"" href=""/TVEpisode"">TVEpisode</a> can be used for both works and their multiple expressions, it is possible to use <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> alone (for a general description), or alongside <a class=""localLink"" href=""/editEIDR"">editEIDR</a> for a more edit-specific description."
toLocation		location			ExerciseAction, InsertAction, MoveAction, TransferAction	Place				A sub property of location. The final location of the object or the agent after the action.
toRecipient		recipient			Message	Audience, ContactPoint, Organization, Person				A sub property of recipient. The recipient who was directly sent the message.
tocContinuation	pending:				HyperTocEntry	HyperTocEntry				"A <a class=""localLink"" href=""/HyperTocEntry"">HyperTocEntry</a> can have a <a class=""localLink"" href=""/tocContinuation"">tocContinuation</a> indicated, which is another <a class=""localLink"" href=""/HyperTocEntry"">HyperTocEntry</a> that would be the default next item to play or render."
tocEntry	pending:	hasPart			HyperToc	HyperTocEntry				"Indicates a <a class=""localLink"" href=""/HyperTocEntry"">HyperTocEntry</a> in a <a class=""localLink"" href=""/HyperToc"">HyperToc</a>."
tongueWeight	https://auto.schema.org				Vehicle	QuantitativeValue				"The permitted vertical load (TWR) of a trailer attached to the vehicle. Also referred to as Tongue Load Rating (TLR) or Vertical Load Rating (VLR).<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a>.</li>
<li>Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
tool		instrument			HowTo, HowToDirection	HowToTool, Text				A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.
torque	https://auto.schema.org				EngineSpecification	QuantitativeValue				"The torque (turning force) of the vehicle's engine.<br/><br/>

Typical unit code(s): NU for newton metre (N m), F17 for pound-force per foot, or F48 for pound-force per inch<br/><br/>

<ul>
<li>Note 1: You can link to information about how the given value has been determined (e.g. reference RPM) using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.</li>
<li>Note 2: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
totalJobOpenings	pending:				JobPosting	Integer				The number of positions open for this job posting. Use a positive integer. Do not use if the number of positions is unclear or not known.
totalPaymentDue					Invoice	MonetaryAmount, PriceSpecification				The total amount due.
totalPrice					Reservation, Ticket	Number, PriceSpecification, Text				"The total price for the reservation or ticket, including applicable taxes, shipping, etc.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
